"personagem";"diálogo"
"THREEPIO";"Você ouviu isso? Eles desligaram o reator principal. Seremos destruídos com certeza. Isso é loucura!"
"THREEPIO";"Estamos condenados!"
"THREEPIO";"Não haverá escapatória para a princesa desta vez."
"TRÊS";"O que é isso?"
"THREEPIO";"Eu deveria saber melhor do que confiar na lógica de um assistente de remoção de alojamento termocapsular de tamanho médio..."
"LUKE";"Apresse-se! Venha comigo! O que você está esperando?! Acelere!"
"THREEPIO";"Artoo! Artoo-Detoo, onde você está?"
"THREEPIO";"Finalmente! Onde você esteve?"
"THREEPIO";"Eles estão indo nessa direção. O que vamos fazer? Seremos enviados para as minas de especiarias de Kessel ou esmagados sabe-se lá o quê!"
"TRÊS";"Espere um minuto, onde você está indo?"
"OFICIAL IMPERIAL";"Os planos da Estrela da Morte não estão no computador principal."
"VADER";"Onde estão as transmissões que você interceptou?"
"OFICIAL REBELDE";"Não interceptamos nenhuma transmissão. Aaah... Este é um navio consular. Estávamos em uma missão diplomática."
"VADER";"Se este é um navio consular... onde está o embaixador?"
"VADER";"Comandante, destrua este navio até encontrar esses planos e traga-me o Embaixador. Quero-o vivo!"
"TROOPER";"Lá está ela! Preparada para atordoar!"
"TROOPER";"Ela vai ficar bem. Informe Lord Vader que temos um prisioneiro."
"THREEPIO";"Ei, você não tem permissão para entrar lá. É restrito. Você será desativado com certeza.."
"TRÊS";"Não me chame de filósofo estúpido, seu gordo gordo de gordura! Agora saia antes que alguém o veja."
"THREEPIO";"Missão secreta? Que planos? Do que você está falando? Eu não vou entrar lá!"
"THREEPIO";"Vou me arrepender disso."
"PILOTO-CHEFE";"Lá vai outro."
"CAPITÃO";"Mantenha seu fogo. Não há formas de vida. Deve ter sido curto-circuito."
"THREEPIO";"Isso é engraçado, o dano não parece tão ruim daqui."
"THREEPIO";"Tem certeza de que essas coisas são seguras?"
"Mulher";"Eu disse a vocês para irem mais devagar!"
"FIXER";"Eu ouvi um barulho jovem explodir por aqui?"
"CAMIE";"Era apenas Wormie em outro ataque."
"LUKE";"Dêem forma a vocês!... Biggs?"
"LUKE";"Eu não sabia que você estava de volta! Quando você entrou?"
"BIGGS";"Só agora. Eu queria fazer uma surpresa para você, figurão. Achei que você estaria aqui... certamente não esperava que você estivesse trabalhando."
"LUKE";"A Academia não mudou muito você... mas você voltou tão cedo? Ei, o que aconteceu, você não recebeu sua comissão?"
"BIGGS";"Claro que entendi. Assinei a bordo do Rand Ecliptic na semana passada. Primeiro imediato Biggs Darklighter ao seu serviço... Acabei de voltar para dizer adeus a todos vocês desafortunados simplórios sem litoral."
"LUKE";"Quase me esqueci. Há uma batalha acontecendo! Bem aqui em nosso sistema. Venha e olhe!"
"DEAK";"De novo não! Esqueça."
"LUKE";"Lá estão eles!"
"BIGGS";"Isso não é uma batalha, atirador... eles estão apenas sentados lá! Provavelmente um reabastecimento de um cargueiro-tanque."
"LUKE";"Mas houve muitos disparos antes..."
"LUKE";"Ei, calma com isso..."
"CAMIE";"Não se preocupe com isso, Wormie."
"FIXER";"Eu continuo dizendo a você, a Rebelião está muito longe daqui. Duvido que o Império lutaria para manter este sistema. Acredite em mim Luke, este planeta é um grande pedaço de nada..."
"LEIA";"Lorde Vader, eu deveria saber. Só você poderia ser tão ousado. O Senado Imperial não vai ficar parado por isso, quando souberem que você atacou um diplomata..."
"VADER";"Não brinque comigo, Alteza. Você não estava em nenhuma missão de misericórdia desta vez. Você passou diretamente por um sistema restrito. Várias transmissões foram enviadas para esta nave por espiões rebeldes. Eu quero para saber o que aconteceu com os planos que eles enviaram para você."
"LEIA";"Não sei do que está falando. Sou membro do Senado Imperial em missão diplomática em Alderaan..."
"VADER";"Você faz parte da Aliança Rebelde... e um traidor. Leve-a embora!"
"COMANDANTE";"Segurá-la é perigoso. Se a notícia se espalhar, pode gerar simpatia pela Rebelião no Senado."
"VADER";"Eu rastreei os espiões rebeldes até ela. Agora ela é meu único link para encontrar a base secreta deles!"
"COMANDANTE";"você qualquer coisa."
"VADER";"Deixe isso comigo. Envie um sinal de socorro e depois informe ao Senado que todos a bordo foram mortos!"
"SEGUNDO OFICIAL";"Lorde Vader, os planos da estação de batalha não estão a bordo desta nave! E nenhuma transmissão foi feita. Uma cápsula de fuga foi descartada durante a luta, mas nenhuma forma de vida estava a bordo."
