"personagem";"diálogo"
"LUKE";"Eco Três a Eco Sete. Han, velho amigo, você me lê?"
"HAN";"Alto e claro, garoto. E aí?"
"LUKE";"Bem, eu terminei meu círculo. Eu não pego nenhuma leitura de vida."
"HAN";"Não há vida suficiente neste cubo de gelo para encher um cruzador espacial. Os sensores estão colocados. Vou voltar."
"LUKE";"Certo. Vejo você em breve. Há um meteorito que caiu no chão perto daqui. Eu quero dar uma olhada. Não vai demorar muito."
"LUKE";"Ei, garota firme. Qual é o problema? Você cheira alguma coisa?"
"LUKE";"Aaargh!"
"HAN";"Chewie!"
"HAN";"Tudo bem, não perca a calma. Eu já volto e te dou uma mão."
"RIEEKAN";"Sozinho?"
"HAN";"Nenhum sinal de vida lá fora, General. Os sensores estão no lugar. Você saberá se algo acontecer."
"RIEEKAN";"O Comandante Skywalker já chegou?"
"HAN";"Não. Ele está verificando um meteorito que caiu perto dele."
"RIEEKAN";"Com toda a atividade de meteoros neste sistema, vai ser difícil detectar naves se aproximando."
"HAN";"General, tenho que ir embora. Não posso mais ficar."
"RIEEKAN";"Lamento ouvir isso."
"HAN";"Bem, há um preço pela minha cabeça. Se eu não pagar Jabba the Hut, sou um homem morto."
"RIEEKAN";"Uma marca da morte não é uma coisa fácil de se conviver. Você é um bom lutador, Solo. Eu odeio perder você."
"HAN";"Obrigado, General."
"HAN";"Bem, Alteza, acho que é isso."
"LEIA";"Isso mesmo."
"HAN";"Bem, não fique toda mole comigo. Até mais, Princesa."
"LEIA";"Han!"
"HAN";"Sim, Alteza?"
"LEIA";"Achei que você tinha decidido ficar."
"HAN";"Bem, o caçador de recompensas que encontramos em Ord Mantell mudou minha mente."
"LEIA";"Han, precisamos de você!"
"HAN";"Nós?"
"LEIA";"Sim."
"HAN";"Oh, o que você precisa?"
"LEIA";"Preciso? Não sei do que você está falando."
"HAN";"Você provavelmente não."
"LEIA";"E o que exatamente eu deveria saber?"
"HAN";"Vamos lá! Você quer que eu fique por causa do que você sente por mim."
"LEIA";"Sim. Você é uma grande ajuda para nós. Você é um líder natural..."
"HAN";"Não! Não é isso. Vamos. Aahhh -- uh huh! Vamos."
"LEIA";"Você está imaginando coisas."
"HAN";"Estou? Então por que você está me seguindo? Com medo de que eu vá embora sem te dar um beijo de despedida?"
"LEIA";"Prefiro beijar um Wookiee."
"HAN";"Eu posso arranjar isso. Você precisa de um bom beijo!"
"THREEPIO";"Não tente me culpar. Eu não pedi para você ligar o aquecedor térmico. Eu apenas comentei que estava congelando no quarto da princesa. Mas deveria estar congelando. Como estamos vai secar todas as roupas dela? Eu realmente não sei."
"THREEPIO";"Ah, desligue."
"HAN";"Por que você desmonta isso agora? Estou tentando nos tirar daqui e você puxa os dois."
"THREEPIO";"Com licença, senhor."
