"character";"dialogue"
"LUKE";"Echo Three to Echo Seven. Han, old friend, do you read me?"
"HAN";"Loud and clear, kid. What's up?"
"LUKE";"Well, I've finished my circle. I don't get any life readings."
"HAN";"There's not enough life in this ice cube to fill a space cruiser. The sensors are in place. I'll be back."
"LUKE";"Alright. See you soon. There's a meteorite that hit the ground near here. I want to check it out. It won't be long."
"LUKE";"Hey, steady girl. What's the matter? Do you smell something?"
"LUKE";"Aaargh!"
"HAN";"Chewie!"
"HAN";"Alright, don't lose your cool. I'll be right back and give you a hand."
"RIEEKAN";"Alone?"
"HAN";"No signs of life out there, General. Sensors are in place. You'll know if anything happens."
"RIEEKAN";"Has Commander Skywalker arrived yet?"
"HAN";"No. He's checking a meteorite that landed near him."
"RIEEKAN";"With all the meteor activity in this system, it will be difficult to detect approaching ships."
"HAN";"General, I have to go. I can't stay any longer."
"RIEEKAN";"Sorry to hear that."
"HAN";"Well, there's a price on my head. If I don't pay Jabba the Hut, I'm a dead man."
"RIEEKAN";"A deathmark is not an easy thing to live with. You are a good fighter, Solo. I hate to lose you."
"HAN";"Thank you, General."
"HAN";"Well, Your Highness, I think that's it."
"READ";"That's right."
"HAN";"Well, don't get all soft on me. See you later, Princess."
"READ";"Han!"
"HAN";"Yes, Your Highness?"
"READ";"I thought you decided to stay."
"HAN";"Well, the bounty hunter we found in Ord Mantell changed my mind."
"READ";"Han, we need you!"
"HAN";"We?"
"READ";"Yes."
"HAN";"Oh, what do you need?"
"READ";"Need it? I don't know what you're talking about."
"HAN";"You probably don't."
"READ";"And what exactly should I know?"
"HAN";"Come on! You want me to stay because of how you feel about me."
"READ";"Yes. You are a great help to us. You are a natural leader..."
"HAN";"No! It's not that. Let's go. Aahhh -- uh huh! Let's go."
"READ";"You're imagining things."
"HAN";"Am I? Then why are you following me? Afraid I'll leave without kissing you goodbye?"
"READ";"I'd rather kiss a Wookiee."
"HAN";"I can arrange that. You need a good kiss!"
"THREEEPIO";"Don't try to blame me. I didn't ask you to turn on the thermal heater. I just commented that it was freezing in the princess's room. But it should be freezing. How are we going to dry all her clothes? I really don't know." "
"THREEEPIO";"Oh, hang up."
"HAN";"Why do you take it apart now? I'm trying to get us out of here and you pull both of us."
